Minor,Description,ID
Absent/excessively tardy w/o permission from assigned activi,Student was absent from four dorm accountability meetings this week.,1841176
Absent/excessively tardy w/o permission from assigned activi,Student missed accountability 3 days in a row. Refer to case notes.,1867817
Absent/excessively tardy w/o permission from assigned activi,This student had excessive absences from classes the week of 1/18. They were unable to excuse enough absences and are receiving a minor infraction.,1867817
Absent/excessively tardy w/o permission from assigned activi,This student had excessive absences from classes the week of 1/18. They were unable to excuse enough absences and are receiving a minor infraction.,1864555
Absent/excessively tardy w/o permission from assigned activi,This student had excessive absences from classes the week of 1/18. They were unable to excuse enough absences and are receiving a minor infraction.,1881632
Absent/excessively tardy w/o permission from assigned activi,This student had excessive absences from classes the week of 1/18. They were unable to excuse enough absences and are receiving a minor infraction.,1841176
Absent/excessively tardy w/o permission from assigned activi,This student had excessive absences from classes the week of 1/18. They were unable to excuse enough absences and are receiving a minor infraction.,1885445
Absent/excessively tardy w/o permission from assigned activi,This student had excessive absences from classes the week of 1/18. They were unable to excuse enough absences and are receiving a minor infraction.,1876370
Absent/excessively tardy w/o permission from assigned activi,This student had excessive absences from classes the week of 1/18. They were unable to excuse enough absences and are receiving a minor infraction.,1853227
Absent/excessively tardy w/o permission from assigned activi,This student had excessive absences from classes the week of 1/18. They were unable to excuse enough absences and are receiving a minor infraction.,1798549
Absent/excessively tardy w/o permission from assigned activi,This student had excessive absences from classes the week of 1/18. They were unable to excuse enough absences and are receiving a minor infraction.,1815465
Absent/excessively tardy w/o permission from assigned activi,This student had excessive absences from classes the week of 1/18. They were unable to excuse enough absences and are receiving a minor infraction.,1879208
Absent/excessively tardy w/o permission from assigned activi,Student had three or more absences for the week of 1/24/22. They were unable to clear their absences and are receiving a Minor Infraction.,1884619
Absent/excessively tardy w/o permission from assigned activi,Student had three or more absences for the week of 1/24/22. They were unable to clear their absences and are receiving a Minor Infraction.,1879207
Absent/excessively tardy w/o permission from assigned activi,Student had three or more absences for the week of 1/24/22. They were unable to clear their absences and are receiving a Minor Infraction.,1880944
Absent/excessively tardy w/o permission from assigned activi,Student had three or more absences for the week of 1/24/22. They were unable to clear their absences and are receiving a Minor Infraction.,1876370
Absent/excessively tardy w/o permission from assigned activi,Student had three or more absences for the week of 1/24/22. They were unable to clear their absences and are receiving a Minor Infraction.,1867817
Absent/excessively tardy w/o permission from assigned activi,Student had three or more absences for the week of 1/24/22. They were unable to clear their absences and are receiving a Minor Infraction.,1864555
Absent/excessively tardy w/o permission from assigned activi,Student had three or more absences for the week of 1/24/22. They were unable to clear their absences and are receiving a Minor Infracation,1853227
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 2/7-2/1. The student was given plenty of time to have the absences excused and was unable to do so there fore an MI is being issued.,1872341
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 2/7-2/1. The student was given plenty of time to have the absences excused and was unable to do so therefore an MI is being issued.,1883190
Absent/excessively tardy w/o permission from assigned activi,the week of 2/14-2/18. Student had ample time to get them excused and was unable to do so there for an MI is being issued.,1866252
Absent/excessively tardy w/o permission from assigned activi,the week of 2/14-2/18. Student had ample time to get them excused and was unable to do so there for an MI is being issued.,1798549
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 1/31-2/4. The student was given ample time to have the absences signed off and was unable to so an MI is being issued.,1876660
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 1/31-2/4. The student was given ample time to have the absences signed off and was unable to so an MI is being issued.,1847981
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 1/31-2/4. The student was given ample time to have the absences signed off and was unable to so an MI is being issued.,1864555
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 1/31-2/4. The student was given ample time to have the absences signed off and was unable to so an MI is being issued.,1872341
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 1/31-2/4. The student was given ample time to have the absences signed off and was unable to so an MI is being issued.,1866252
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 1/31-2/4. The student was given ample time to have the absences signed off and was unable to so an MI is being issued.,1815465
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 1/31-2/4. The student was given ample time to have the absences signed off and was unable to so an MI is being issued.,1885903
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 1/31-2/4. The student was given ample time to have the absences signed off and was unable to so an MI is being issued.,1878956
Absent/excessively tardy w/o permission from assigned activi,"The student was given ample time to have absences from the week of 3/7-3/11 excused and was unable to do so, therefore an MI is being issued.",1880944
Absent/excessively tardy w/o permission from assigned activi,"The student was given ample time to have absences from the week of 3/7-3/11 excused and was unable to do so, therefore an MI is being issued.",1884928
Absent/excessively tardy w/o permission from assigned activi,"The student was given ample time to have absences from the week of 3/7-3/11 excused and was unable to do so, therefore an MI is being issued.",1815465
Absent/excessively tardy w/o permission from assigned activi,"The student was given ample time to have absences from the week of 3/7-3/11 excused and was unable to do so, therefore an MI is being issued.",1863019
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 2/21-2/25. The student was given ample time to get them signed off and was unable to do so there for an MI is being issued.,1867817
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 2/21-2/25. The student was given ample time to get them signed off and was unable to do so there for an MI is being issued.,1880944
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 2/21-2/25. The student was given ample time to get them signed off and was unable to do so there for an MI is being issued.,1864555
Absent/excessively tardy w/o permission from assigned activi,"Student had excessive absences the week of 3/14-3/18. Student was given ample time to have them excused and was unable to, therefore an MI is being issued.",1815465
Absent/excessively tardy w/o permission from assigned activi,"Student had excessive absences the week of 3/14-3/18. Student was given ample time to have them excused and was unable to, therefore an MI is being issued.",1884619
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 2/28-3/4.  The student was given ample time to have the absences excused and was unable to do so there for an MI is being issued.,1893353
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 2/28-3/4.  The student was given ample time to have the absences excused and was unable to do so there for an MI is being issued.,1798549
Absent/excessively tardy w/o permission from assigned activi,Krista missed 4 residential accountabilities this week.,1890841
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences for the week of 4/4-4/8. Student was given ample time to have absences excused and was unable to do so therefore an MI is being issued.,1884619
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences for the week of 4/11-4/15. Student was given ample time to have the absences excused and was unable to do so therefore an MI is being issued.,1811180
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences for the week of 4/11-4/15. Student was given ample time to have the absences excused and was unable to do so therefore an MI is being issued.,1798549
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences for the week of 4/11-4/15. Student was given ample time to have the absences excused and was unable to do so therefore an MI is being issued.,1884619
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences for the week of 4/11-4/15. Student was given ample time to have the absences excused and was unable to do so therefore an MI is being issued.,1890898
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences for the week of 4/11-4/15. Student was given ample time to have the absences excused and was unable to do so therefore an MI is being issued.,1864387
Absent/excessively tardy w/o permission from assigned activi,"Student had excessive absences the week of 4/18-4/22. Student was given ample time to have them signed off and was unable to do so, therefor an MI is being issued.",1890757
Absent/excessively tardy w/o permission from assigned activi,"Student had excessive absences the week of 4/18-4/22. Student was given ample time to have them signed off and was unable to do so, therefor an MI is being issued.",1863019
Absent/excessively tardy w/o permission from assigned activi,"Student had excessive absences the week of 4/18-4/22. Student was given ample time to have them signed off and was unable to do so, therefor an MI is being issued.",1890841
Absent/excessively tardy w/o permission from assigned activi,"Student had excessive absences the week of 4/18-4/22. Student was given ample time to have them signed off and was unable to do so, therefor an MI is being issued.",1870697
Absent/excessively tardy w/o permission from assigned activi,The student had more than 3 absences the week of 4/18-4/22.  The absences were not able to be excused therefor an MI is being issued.,1884928
Absent/excessively tardy w/o permission from assigned activi,The student had more than 3 absences the week of 4/18-4/22.  The absences were not able to be excused therefor an MI is being issued.,1880486
Absent/excessively tardy w/o permission from assigned activi,The student had more than 3 absences the week of 4/18-4/22.  The absences were not able to be excused therefor an MI is being issued.,1878562
Absent/excessively tardy w/o permission from assigned activi,"Student had excessive absences the week of 4/18-4/22. Student was given ample time to have them signed off and was unable to do so, therefor an MI is being issued.",1896769
Absent/excessively tardy w/o permission from assigned activi,"Student had three or more absences for the week of 3/28. The absences could not be cleared. Per center policy, they are receiving this minor infraction.",1884619
Absent/excessively tardy w/o permission from assigned activi,"Student had three or more absences for the week of 3/28. The absences could not be cleared. Per center policy, they are receiving this minor infraction.",1887114
Absent/excessively tardy w/o permission from assigned activi,"Student had three or more absences for the week of 3/28. The absences could not be cleared. Per center policy, they are receiving this minor infraction.",1861164
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 5/2-5/6. Student was given ample time to get them excused and was unable to do so therefor an MI is being issued.,1867817
Absent/excessively tardy w/o permission from assigned activi,Student had excessive absences the week of 5/2-5/6. Student was given ample time to get them excused and was unable to do so therefor an MI is being issued.,1880944
